tên hàng hóa,danh mục,kết quả mong muốn
"Túi ngủ văn phòng Naturehike LW180, siêu nhẹ, giữ ấm, dùng cho dã ngoại, cắm trại","[Đồ dã ngoại & Cắm trại, Lều cắm trại, Bàn ghế xếp, Bếp nướng BBQ, Đèn pin, Túi ngủ, Naturehike, Coleman, The North Face, Decathlon, Camping, Sleeping Bag, Đồ outdoor, Phụ kiện cắm trại, Đồ du lịch]",Túi ngủ
"Khay 500g Ba chỉ bò Mỹ (short plate) thái lát mỏng, thịt bò nhập khẩu đông lạnh, cho món lẩu, nướng","[Thịt & Hải sản, Thịt heo, Thịt gà, Hải sản, Thực phẩm đông lạnh, Thịt bò, Ba chỉ bò Mỹ, Lõi vai bò, Thăn bò, Gfoods, Sói Biển, Beef, Thịt bò nhập khẩu, Thịt đông lạnh, Nguyên liệu lẩu, Thịt nướng BBQ]",Thịt bò
"Hạt nêm Knorr Nấm Hương Organic 380g, gia vị chay, bột nêm từ nấm","[Gia vị & Phụ gia, Muối, Đường, Bột ngọt, Nước mắm, Hạt nêm, Knorr, Maggi, Ajinomoto, Vedan, Seasoning, Bột nêm, Gia vị chay, Hạt nêm nấm, Gia vị nấu ăn, Hạt nêm rau củ]",Hạt nêm
Lốc 4 hộp Sữa chua uống men sống Vinamilk Probi hương dâu 130ml,"[Sữa chua & Sản phẩm lên men, Sữa chua ăn, Váng sữa, Phô mai, Sữa tươi, Sữa chua uống, Probi, Yakult, TH True Yogurt, Dutch Lady, Sữa, Yogurt Drink, Sữa chua men sống, Đồ uống tốt cho tiêu hóa, Sữa lên men]",Sữa chua uống
"Giấy dán tường 3D giả gạch khổ 70x77cm, xốp dán tường chống ẩm, decor phòng","[Trang trí nhà cửa, Tranh treo tường, Rèm cửa, Thảm trải sàn, Decal, Giấy dán tường, Giấy dán bếp, Simili, vật liệu trang trí, nội thất, Wallpaper, Decor nhà, Trang trí phòng ngủ, Xốp dán tường 3D, Decal dán tường]",Giấy dán tường
"Máy xay sinh tố đa năng Philips 5000 Series HR2223/00, cối thủy tinh 2L, 5 tốc độ","[Máy xay & Chế biến thực phẩm, Máy ép trái cây, Máy làm sữa hạt, Máy đánh trứng, Máy xay thịt, Máy xay sinh tố, Philips, Panasonic, Sunhouse, Kangaroo, Đồ gia dụng, Blender, Máy xay đa năng, Thiết bị bếp nhỏ]",Máy xay sinh tố
"Kệ sách gỗ 5 tầng, kệ đa năng lắp ghép, kệ trang trí phòng khách, màu gỗ sồi","[Nội thất lưu trữ, Tủ quần áo, Giường ngủ, Bàn trang điểm, Kệ tivi, Kệ sách, Ikea, Jysk, Baya, Uma, Bookshelf, Kệ gỗ, Kệ trang trí, Tủ sách, Nội thất phòng học, Kệ đa năng]",Kệ sách
"Bịch bỉm người lớn Caryn tã dán size M/L 20 miếng, siêu thấm, chống trào","[Chăm sóc người lớn tuổi, Tã người già, Đồ dùng y tế, Tã quần người lớn, Tã dán, Bỉm người lớn, Caryn, Sunmate, Wellsoon, Depend, Sản phẩm cho người cao tuổi, Adult Diaper, Bỉm người bệnh, Chăm sóc bệnh nhân]",Bỉm người lớn
"Voucher buffet lẩu băng chuyền Kichi-Kichi trị giá 500,000 VNĐ, áp dụng toàn hệ thống","[Voucher & Dịch vụ, Deal ẩm thực, Phiếu giảm giá, Voucher spa, Vé xem phim, Thẻ quà tặng, Voucher ăn uống, Manwah, Kichi-Kichi, Gogi House, Hotdeal, E-voucher, Buffet, Lẩu, Dịch vụ ăn uống]",Voucher ăn uống
"Hộp 16 miếng phô mai lát hữu cơ Organic Valley Mild Cheddar, phomai lát làm sandwich","[Phô mai & Bơ, Thực phẩm, Bơ, Sữa, Váng sữa, Phô mai lát, Phô mai, Con Bò Cười, Chesdale, Anchor, Kraft, Cheese, Phô mai Cheddar, Phô mai mozzarella, Nguyên liệu làm bánh, Bơ lạt]",Phô mai
"Dép sục Crocs Classic Clog màu trắng, dép nhựa siêu nhẹ, chống trơn trượt","[Giày dép, Sandal, Giày thể thao, Dép quai hậu, Giày cao gót, Dép, Crocs, Birkenstock, Havaianas, Biti's, Clogs, Dép đi trong nhà, Dép đi mưa, Dép thời trang, Giày dép nam nữ]",Dép
"Nến thơm Bath & Body Works mùi Japanese Cherry Blossom, 3 bấc, hũ lớn 411g","[Nến & Tinh dầu, Tinh dầu thiên nhiên, Đèn xông tinh dầu, Sáp thơm, Nến trang trí, Đồ decor, Nến thơm, Yankee Candle, Bath & Body Works, Jo Malone, Diptyque, Scented Candle, Nến thư giãn, Trang trí nội thất]",Nến thơm
"Mặt nạ đất sét Kiehl's Rare Earth Deep Pore Cleansing Masque 125ml, mặt nạ se khít lỗ chân lông","[Mặt nạ & Chăm sóc chuyên sâu, Tẩy tế bào chết, Toner, Serum, Kem dưỡng, Mặt nạ, Kiehl's, Innisfree, The Body Shop, Laneige, Face Mask, Mặt nạ đất sét, Mặt nạ giấy, Chăm sóc da mụn, Se khít lỗ chân lông]",Mặt nạ
Nước tẩy trang L'Oréal Revitalift Hyaluronic Acid Hydrating Micellar Water 400ml,"[Làm sạch da, Sữa rửa mặt, Dầu tẩy trang, Nước hoa hồng, Sáp tẩy trang, Nước tẩy trang, L'Oréal, Bioderma, Garnier, Simple, La Roche-Posay, Micellar Water, Tẩy trang cho da nhạy cảm, Tẩy trang mắt môi]",Nước tẩy trang
"Chì kẻ mày 2 đầu Innisfree Auto Eyebrow Pencil màu #3 Nâu Xám, chì kẻ mày phẩy sợi","[Trang điểm mắt, Mỹ phẩm trang điểm, Mascara, Eyeliner, Phấn mắt, Kem nền, Chì kẻ mày, Innisfree, The Face Shop, Maybelline, Shu Uemura, Eyebrow Pencil, Kẻ mày, Trang điểm chân mày, Bột tán mày]",Chì kẻ mày
"Bộ dao cạo râu Gillette Fusion5 Power và 4 đầu lưỡi thay thế, dao cạo 5 lưỡi","[Sản phẩm cạo râu, Bọt cạo râu, Kem cạo râu, Lưỡi dao cạo, Máy cạo râu, Dao cạo râu, Gillette, Schick, Dorco, Philips Norelco, Đồ dùng nam, Razor, Cạo râu, Chăm sóc da cho nam, Grooming]",Dao cạo râu
"Bao tay lái xe máy GIVI STF01S, găng tay cụt ngón, bảo vệ gù, thoáng khí","[Phụ kiện xe máy & Mũ bảo hiểm, Phụ tùng xe máy, Nhớt, Lốp xe, Mũ bảo hiểm, Găng tay, GIVI, RCB, Rizoma, Pro-biker, Phụ kiện xe, Motorcycle Gloves, Găng tay xe máy, Đồ bảo hộ, Phụ kiện phượt]",Găng tay
"Thẻ nhớ SanDisk Ultra microSDXC 256GB Class 10, tốc độ đọc 150MB/s, A1 U1","[Thẻ nhớ & USB, USB, Ổ cứng, Thiết bị lưu trữ, Đầu đọc thẻ nhớ, Thẻ nhớ, SanDisk, Samsung, Kingston, Lexar, MicroSD, Memory Card, Thẻ nhớ máy ảnh, Thẻ nhớ điện thoại, Lưu trữ dữ liệu]",Thẻ nhớ
"Loa Bluetooth di động JBL Flip 6, chống nước IP67, công suất 30W, pin 12h","[Loa di động, Tai nghe, Dàn âm thanh, Loa vi tính, Loa kéo, Loa di động, JBL, Sony, Marshall, Harman Kardon, Loa mini, Bluetooth Speaker, Loa không dây, Loa chống nước, Loa du lịch, Loa JBL]",Loa di động
"Toner Thayers Witch Hazel Facial Toner không cồn, hương hoa hồng, 355ml, nước hoa hồng làm dịu da","[Toner & Nước cân bằng, Sản phẩm chăm sóc da, Serum, Kem dưỡng, Xịt khoáng, Toner, Thayers, Simple, Klairs, Kiehl's, Nước hoa hồng, Facial Toner, Nước cân bằng da, Toner không cồn, Dưỡng ẩm]",Toner
"Đai nịt bụng Latex Ann Chery 2021, gen bụng định hình eo, 25 xương thép","[Đồ lót định hình, Quần gen bụng, Áo ngực, Quần lót, Đồ ngủ, Đai nịt bụng, Ann Chery, Corset Chuẩn, Huonglee Corset, Phụ kiện vóc dáng, Shapewear, Gen nịt bụng, Đai siết eo, Đồ định hình, Corset]",Đai nịt bụng
"Thuốc nhỏ mắt V.Rohto Lycée Contact 8ml, dành cho người đeo kính áp tròng","[Chăm sóc mắt, Dung dịch ngâm kính áp tròng, Nước mắt nhân tạo, Thuốc dị ứng, Vitamin cho mắt, Thuốc nhỏ mắt, V.Rohto, Refresh, Systane, Osla, Eyemiru, Eye Drops, Thuốc nhỏ mắt Nhật Bản, Chăm sóc mắt]",Thuốc nhỏ mắt
"Sách tô màu người lớn Johanna Basford's Secret Garden, sách tô màu chống stress","[Sách nghệ thuật & Giải trí, Văn phòng phẩm, Bút màu, Giấy vẽ, Sách nghệ thuật, Đồ thủ công, Sách tô màu, Secret Garden, Johanna Basford, Artbook, Sách giải trí, Coloring Book, Sách thư giãn, Trị liệu nghệ thuật]",Sách tô màu
"Vợt cầu lông Yonex Astrox 100ZZ Kurenai, vợt tấn công, hàng chính hãng","[Cầu lông, Quả cầu lông, Giày cầu lông, Quần áo thể thao, Túi vợt, Vợt cầu lông, Yonex, Lining, Victor, Mizuno, Dụng cụ thể thao, Badminton Racket, Vợt chuyên nghiệp, Vợt công thủ toàn diện]",Vợt cầu lông
"Quả bóng rổ da Molten BG5000 size 7, bóng thi đấu chính thức của FIBA","[Bóng rổ, Dụng cụ bóng rổ, Giày bóng rổ, Quần áo bóng rổ, Bảng rổ, Bóng rổ, Molten, Spalding, Nike, Wilson, Thể thao đồng đội, Basketball, Bóng rổ size 7, Bóng thi đấu, Dụng cụ bóng rổ chuyên nghiệp]",Bóng rổ
"Gậy chụp ảnh selfie 3 chân Yunteng VCT-1688, tripod cho điện thoại và máy ảnh, có remote","[Phụ kiện chụp ảnh, Gimbal, Tripod, Đèn livestream, Gậy selfie, Yunteng, Xiaomi, Huawei, Phụ kiện chụp ảnh, tripod mini, Selfie Stick, Chân máy ảnh, Phụ kiện quay video, Gậy tự sướng]",Gậy selfie
"Nước yến sào Sanest cho trẻ em, hộp 6 lọ x 70ml, bổ sung Lysine, chất xơ","[Thực phẩm cho bé, Yến sào, Thực phẩm chức năng, Nước hồng sâm, Sữa non, Nước yến, Sanest, Nunest, Green Bird, Wonderfarm, Đồ bổ cho bé, Yến hũ cho bé, Dinh dưỡng cho trẻ, Yến sào trẻ em]",Nước yến
"Bột giặt OMO Matic cho máy giặt cửa trước, túi 5.5kg, xoáy bay vết bẩn cứng đầu","[Giặt giũ, Nước giặt, Nước xả vải, Tẩy quần áo, Bột giặt tay, Bột giặt, OMO, Tide, Ariel, Aba, Lix, Detergent, Bột giặt máy, Sản phẩm giặt là, Chăm sóc nhà cửa]",Bột giặt
"Mực in phun màu Canon CL-746, dùng cho máy in Canon PIXMA, hàng chính hãng","[Mực in & Giấy in, Giấy in ảnh, Máy in, Mực in màu, Hộp mực, Mực in, Canon, HP, Brother, Epson, Vật tư văn phòng, Ink Cartridge, Mực in phun, Mực in chính hãng, Hộp mực máy in]",Mực in
"Set 3 cuộn túi đựng rác tự hủy sinh học An Lành, size trung, nhiều màu","[Dụng cụ vệ sinh, Cây lau nhà, Chổi, Hót rác, Găng tay cao su, Túi rác, An Lành, Econova, Inochi, Tạp hóa, Trash Bag, Túi đựng rác, Sản phẩm tự hủy, Vệ sinh gia đình]",Túi rác
"Thức ăn hạt cho mèo trưởng thành Royal Canin Fit 32 túi 2kg, hạt cho mèo kén ăn","[Thức ăn & Chăm sóc thú cưng, Thức ăn cho chó, Pate, Cát vệ sinh, Đồ chơi thú cưng, Hạt cho mèo, Royal Canin, Whiskas, Me-O, Nutrience, Thức ăn vật nuôi, Cat Food, Hạt khô cho mèo, Dinh dưỡng cho mèo, Pet food]",Hạt cho mèo
"Bát ăn cho chó bằng inox, có đế cao su chống trượt, size L","[Phụ kiện cho thú cưng, Vòng cổ, Dây dắt, Lược chải lông, Nhà cho thú cưng, Bát ăn, Phụ kiện cho chó, Inox, Bobo, Poodle, Pet shop, Dog Bowl, Bát ăn cho thú cưng, Dụng cụ cho chó mèo]",Bát ăn
"Lồng chim sắt sơn tĩnh điện, 2 ngăn, có khay vệ sinh, size 60x40x40cm","[Lồng & Chuồng, Thức ăn cho chim, Đồ chơi chim, Cát lót chuồng, Lồng hamster, Lồng chim, Phụ kiện thú cưng, Lồng sắt, Lồng tre, Aviary, Chim cảnh, Bird Cage, Chuồng nuôi thú cưng, Lồng vẹt]",Lồng chim
"Bộ cần câu máy Shimano Cruzar 2m7 kèm máy và 100m dây, cần câu cá đa năng","[Đồ câu cá, Máy câu, Dây câu, Lưỡi câu, Mồi giả, Cần câu tay, Cần câu cá, Shimano, Daiwa, Abu Garcia, Đồ câu, Fishing Rod, Dụng cụ câu cá, Cần câu lục, Cần câu lăng xê]",Cần câu cá
"Vỉ 24 viên kẹo ngậm ho không đường Ricola Original Herb, thảo dược Thụy Sĩ","[Kẹo ngậm & Xịt họng, Thuốc, Kẹo a-ti-cê, Siro ho, Vitamin C, Thực phẩm chức năng, Kẹo ngậm ho, Strepsils, Eugica, Ricola, Bảo Thanh, Kẹo ngậm thảo dược, Giảm đau họng, Kẹo không đường]",Kẹo ngậm ho
"Bàn là hơi nước cầm tay Philips 3000 Series STH3020/10, công suất 1000W, gấp gọn","[Chăm sóc quần áo, Bàn ủi khô, Bàn là cây, Cầu là quần áo, Kẹp phơi đồ, Bàn là, Philips, Tefal, Sunhouse, Electrolux, Thiết bị chăm sóc quần áo, Steam Iron, Bàn ủi hơi nước, Bàn là du lịch, Bàn ủi cầm tay]",Bàn là
"Đàn guitar acoustic Kapok LD-14, size 41, tặng kèm bao da, capo, pick","[Nhạc cụ, Đàn organ, Ukulele, Phụ kiện guitar, Dây đàn, Capo, Đàn guitar, Yamaha, Fender, Taylor, Cordoba, Acoustic Guitar, Đàn guitar cho người mới bắt đầu, Đàn guitar classic]",Đàn guitar
"Yến mạch cán dẹt nguyên chất Quaker Old Fashioned Oats, hộp 1kg, ngũ cốc ăn sáng","[Ngũ cốc & Muesli, Ngũ cốc ăn sáng, Hạt chia, Gạo lứt, Hạt dinh dưỡng, Yến mạch, Quaker, Bob's Red Mill, Anpaso, Thực phẩm sức khỏe, Ngũ cốc, Oats, Yến mạch ăn liền, Yến mạch giảm cân, Thực phẩm healthy]",Yến mạch
"Dầu gió xanh Singapore Eagle Brand 24ml, dầu con ó, giảm đau nhức, cảm lạnh","[Dầu gió & Dầu nóng, Dầu tràm, Cao sao vàng, Dầu nóng, Dầu cù là, Dầu gió, Thiên Thảo, Eagle Brand, Phật Linh, Trường Sơn, Sản phẩm y tế, Medicated Oil, Dầu xoa bóp, Dầu gió Singapore]",Dầu gió
"Sạc laptop đa năng Huntkey 90W, nhiều đầu cắm cho Dell, HP, Asus, Acer, Lenovo","[Phụ kiện laptop, Pin laptop, Bàn phím laptop, Màn hình laptop, Adapter, Sạc laptop, Sạc Dell, Sạc HP, Sạc Macbook, Phụ kiện máy tính xách tay, sạc đa năng, Laptop Charger, Sạc laptop chính hãng]",Sạc laptop
"Chai xịt diệt muỗi và côn trùng Jumbo Vape Fik, hương lavender 600ml","[Diệt côn trùng, Bình xịt côn trùng, Vợt muỗi, Đèn bắt muỗi, Kem chống muỗi, Thuốc diệt muỗi, Mosfly, Raid, Jumbo, Soffell, Diệt côn trùng, Insecticide, Xịt muỗi, Xịt kiến gián]",Thuốc diệt muỗi
"Bút xóa kéo Plus Whiper V 5mm x 10m, màu xanh dương, xóa nhanh, sạch","[Bút xóa & Băng xóa, Bút bi, Bút chì, Tẩy, Bút xóa kéo, Bút xóa, Thiên Long, Plus, Pentel, Deli, Văn phòng phẩm, Correction Tape, Băng xóa, Bút xóa nước, Dụng cụ sửa lỗi]",Bút xóa
"Tệp 100 tờ giấy ghi chú Pronoti 76x76mm, màu vàng, giấy note, sticky note","[Giấy ghi chú & Sổ, Sổ tay, Giấy in A4, Bìa hồ sơ, Kẹp giấy, Giấy ghi chú, Pronoti, Post-it, 3M, Deli, Giấy note, Sticky Note, Giấy phân trang, Giấy nhớ, Văn phòng phẩm]",Giấy ghi chú
"Ghế massage toàn thân Kingsport G82, da PU cao cấp, massage không trọng lực, nhiệt hồng ngoại","[Thiết bị massage, Máy massage cầm tay, Gối massage, Đệm massage, Ghế massage, KLC, Kingsport, Okia, Maxcare, Fuji Luxury, Thiết bị chăm sóc sức khỏe, Massage Chair, Ghế massage trị liệu, Máy massage toàn thân]",Ghế massage
"Chảo chống dính sâu lòng Tefal Day By Day 28cm G1436606, dùng được bếp từ","[Chảo & Wok, Nồi, Xoong, Chảo gang, Chảo sâu lòng, Chảo chống dính, Sunhouse, Supor, Tefal, Lock&Lock, Dụng cụ nhà bếp, Frying Pan, Chảo bếp từ, Chảo đá, Chảo nhôm]",Chảo chống dính
"Dao bếp trưởng ZWILLING J.A. Henckels Twin Fin II 8-inch, dao chef, thép không gỉ","[Dao & Kéo, Dao gọt, Dao chặt, Kéo, Thớt, Dụng cụ mài dao, Dao bếp, ZWILLING, Wüsthof, Victorinox, KAI, Chef's Knife, Dao Nhật, Dao Đức, Dụng cụ làm bếp, Bộ dao]",Dao bếp
"Set 10 bao lì xì Tết Giáp Thìn 2024, giấy mỹ thuật, mẫu thiết kế độc quyền","[Đồ trang trí lễ hội, Đồ trang trí Tết, Hoa mai, Câu đối, Lồng đèn, Bao lì xì, Phong bao đỏ, Lì xì Tết, Mẫu mới, Thiết kế độc quyền, Phụ kiện Tết, Lucky Money Envelope, Trang trí năm mới]",Bao lì xì
"Máy tính học sinh Casio FX-580VN X, được mang vào phòng thi, hàng chính hãng","[Máy tính & Thiết bị văn phòng, Dụng cụ học sinh, compa, eke, thước kẻ, máy tính bỏ túi, máy tính học sinh, casio, vinacal, fx-570, fx-580, Scientific Calculator, Máy tính khoa học, Đồ dùng học tập]",máy tính học sinh
"Băng vệ sinh Kotex Pro siêu mỏng cánh 20 miếng, chống tràn, bề mặt cotton","[Chăm sóc phụ nữ, Băng vệ sinh hàng ngày, Tampon, Cốc nguyệt san, Dung dịch vệ sinh phụ nữ, Băng vệsin, Kotex, Diana, Laurier, Whisper, Chăm sóc phụ nữ, Sanitary Pad, BVS, Băng vệ sinh ban đêm, Băng vệ sinh có cánh]",Băng vệ sinh
"Áo điều hòa Nhật Bản AZUKI pin 26.000mAh, quạt không chổi than 15V, áo chống nắng có quạt","[Quạt & Máy điều hòa, Quạt tích điện, Quạt mini, Điều hòa, Quạt phun sương, Áo chống nắng, Áo điều hòa, Áo quạt gió, KITO, YAMAKO, AZUKI, Cooling Fan Jacket, Áo làm mát, Trang phục mùa hè]",Áo điều hòa
"Gối cao su non thiên nhiên Liên Á Contour, gối chống đau vai gáy, vỏ gối thun","[Gối & Nệm, Gối ôm, Gối tựa lưng, Ruột gối, Vỏ gối, Gối, Liên Á, Kymdan, Vạn Thành, Dunlopillo, Gối ngủ, Pillow, Gối cao su, Gối công thái học, Gối trị liệu, Gối memory foam]",Gối
"Nệm lò xo túi Vạn Thành Comfy, 1m6x2m dày 25cm, đệm lò xo độc lập","[Nệm & Phụ kiện, Nệm cao su, Nệm bông ép, Topper nệm, Ga giường, Nệm, Vạn Thành, Kymdan, Liên Á, Dunlopillo, Everon, Mattress, Đệm lò xo, Nệm lò xo túi độc lập, Đệm ngủ]",Nệm
"Nước súc miệng Listerine Cool Mint 750ml, sạch khuẩn, hơi thở thơm mát","[Sản phẩm súc miệng, Kem đánh răng, Bàn chải, Chỉ nha khoa, Nước súc miệng, Listerine, Colgate Plax, Scope, Crest, Chăm sóc răng, Mouthwash, Nước súc miệng kháng khuẩn, Chống hôi miệng, Vệ sinh nha khoa]",Nước súc miệng
"Sữa tắm gội toàn thân cho bé Johnson's Baby Top-To-Toe 500ml, dịu nhẹ như nước","[Tắm gội cho bé, Phấn rôm, Dầu massage, Kem hăm, Sữa tắm em bé, Johnson's Baby, Pigeon, Cetaphil Baby, Arau Baby, Đồ dùng cho trẻ sơ sinh, Baby Bath, Dầu gội cho bé, Sữa tắm 2 trong 1]",Sữa tắm em bé
"Sơn móng tay OPI màu Big Apple Red, sơn đỏ tươi, bền màu, bóng đẹp","[Làm móng, Dưỡng móng, Sơn gel, Nước rửa móng tay, Dũa móng, Sơn móng tay, OPI, Essie, Innisfree, The Face Shop, Dụng cụ làm móng, Nail Polish, Sơn móng, Chăm sóc móng, Nail art]",Sơn móng tay
"Bộ nồi inox 5 đáy Fivestar Royale 4 chiếc, nắp kính, dùng cho mọi loại bếp","[Nồi & Chảo, Chảo, Xoong, Nồi luộc gà, Nồi áp suất, Bộ nồi, Sunhouse, Elmich, Fivestar, Kangaroo, Inox, Cookware Set, Bộ nồi inox, Nồi nấu bếp từ, Dụng cụ nấu nướng]",Bộ nồi
"Khăn giấy ướt Bobby không mùi gói 100 tờ, an toàn cho da bé, khăn ướt em bé","[Khăn ướt & Khăn giấy, Khăn khô đa năng, Giấy vệ sinh, Khăn giấy, Khăn ướt, Bobby, Huggies, Mamamy, Unifresh, Sản phẩm cho bé, Wet Wipes, Khăn ướt không mùi, Khăn ướt cho trẻ sơ sinh]",Khăn ướt
"Xịt khoáng cấp ẩm Avène Thermal Spring Water 300ml, làm dịu da, xịt khoáng cho da nhạy cảm","[Xịt khoáng & Setting Spray, Toner, Serum, Kem dưỡng ẩm, Xịt khoáng, Avene, La Roche-Posay, Vichy, Caudalie, Evoluderm, Dưỡng da, Facial Mist, Xịt khoáng cấp nước, Xịt làm dịu da]",Xịt khoáng
"Hộp 110 viên rửa bát Finish Quantum Max, viên rửa chén, làm sạch, làm bóng, bảo vệ máy","[Phụ gia máy rửa bát, Muối rửa bát, Nước làm bóng, Bột rửa bát, Viên rửa bát, Finish, Somat, Alio, Denkmit, Phụ gia máy rửa bát, Dishwasher Tablet, Viên rửa chén, Hóa chất cho máy rửa bát]",Viên rửa bát
Túi kẹo mút Chupa Chups hương trái cây tổng hợp 100 que,"[Kẹo, Kẹo dẻo, Socola, Bánh quy, Snack, Kẹo cứng, Kẹo mút, Chupa Chups, Alpenliebe, Kẹo a-ti-cê, Đồ ăn vặt, Lollipop, Kẹo que, Kẹo trái cây, Bánh kẹo]",Kẹo mút
"Giày đá banh Nike Phantom Luna II Elite FG, giày đá bóng sân cỏ tự nhiên, đinh FG","[Giày thể thao chuyên dụng, Giày futsal, Giày đinh AG, Giày sân cỏ nhân tạo, Giày đá banh, Nike, Adidas Predator, Puma Future, Mizuno, Wika, Kamito, Football Boots, Giày đá bóng chính hãng, Giày bóng đá]",Giày đá banh
"Vòng đeo tay thông minh Xiaomi Smart Band 8, theo dõi sức khỏe, đo SpO2, màn hình AMOLED","[Thiết bị đeo thông minh, Đồng hồ thông minh, Smartwatch, Vòng đeo sức khỏe, Mi Band, Huawei Band, Samsung Galaxy Fit, Fitbit, Garmin, Thiết bị đeo, Smart Band, Vòng tay theo dõi sức khỏe, Đồng hồ thể thao]",Vòng đeo sức khỏe
"Sim 4G Viettel trọn gói 1 năm UMAX90, không giới hạn dung lượng tốc độ cao","[Sim & Thẻ cào, Thẻ cào điện thoại, Sim số đẹp, Sim du lịch, Gói cước data, Sim 4G, Viettel, Mobifone, Vinaphone, Vietnamobile, Sim data, SIM Card, Sim 4G không giới hạn, Sim data khủng]",Sim 4G
"Tông đơ cắt tóc chuyên nghiệp Kemei KM-1990, không dây, pin sạc, lưỡi thép","[Dụng cụ tạo kiểu tóc, Máy cạo râu, Máy tỉa lông mũi, Lược, Kéo cắt tóc, Tông đơ, Philips, Kemei, Codos, Panasonic, Dụng cụ làm tóc, Hair Clipper, Tông đơ điện, Tông đơ cắt tóc cho bé]",Tông đơ
"Bộ micro karaoke không dây Shure BLX288A/PG58, 2 tay micro, sóng UHF, cho sân khấu, gia đình","[Micro & Phụ kiện, Loa kéo, Amply, Dàn karaoke, Loa bluetooth, Micro có dây, Micro không dây, Shure, Sennheiser, Bose, JBL, Wireless Microphone, Micro hát karaoke, Micro thu âm, Thiết bị âm thanh chuyên nghiệp]",Micro không dây
"Webcam Logitech C922 Pro Stream, Full HD 1080p 60fps, có mic, cho streamer, học online","[Webcam & Camera máy tính, Máy ảnh, Tai nghe, Bàn phím, Chuột, Camera máy tính, Webcam, Logitech, Razer, Creative, Ausdom, Camera cho máy tính, Webcam học trực tuyến, Webcam livestream]",Webcam
"Bảng vẽ điện tử Wacom Intuos S (CTL-4100), khu vực vẽ 6 inch, bút không pin","[Bảng vẽ & Bút cảm ứng, Bút cảm ứng, Màn hình đồ họa, Bảng vẽ cho bé, Bảng vẽ, Wacom, Huion, XP-Pen, Gaomon, Thiết bị đồ họa, Graphics Tablet, Bảng vẽ Wacom, Bảng vẽ cho designer, Bảng vẽ điện tử]",Bảng vẽ
"Bộ đồ chơi lắp ráp LEGO Classic 11017 Creative Monsters, 140 chi tiết, cho bé 4+","[Đồ chơi, Đồ chơi bé gái, Búp bê, Siêu nhân, Xe điều khiển, Đồ chơi lắp ráp, LEGO, Classic, City, Friends, Technic, Toys, Đồ chơi sáng tạo, Đồ chơi LEGO, Đồ chơi xếp hình]",LEGO
"Xe đẩy em bé 2 chiều Combi Umbretta 4 bánh xoay tự động, gấp gọn, mái che chống tia UV","[Xe đẩy & Ghế ô tô cho bé, Ghế ngồi ô tô, Địu em bé, Nôi cũi, Xe tập đi, Xe đẩy, Aprica, Combi, Joie, Chicco, VBCare, Baby Stroller, Xe đẩy gấp gọn, Xe đẩy du lịch, Đồ dùng cho bé ra ngoài]",Xe đẩy
"Hộp 48 màu nước dạng nén Superior, kèm cọ vẽ, palette, water color set","[Họa cụ & Dụng cụ vẽ, Màu sáp, Chì màu, Màu acrylic, Bút lông màu, Màu nước, Superior, Holbein, Winsor & Newton, Pentel, Họa cụ, Water Color, Màu vẽ, Dụng cụ mỹ thuật, Bút vẽ]",Màu nước
"Vở kẻ ngang Campus Todai 120 trang, giấy mịn, chống lóa, B5","[Vở & Sổ, Tập học sinh, Sổ tay, Giấy A4, Bút bi, Vở, Campus, Kokuyo, Hồng Hà, Classmate, Vĩnh Tiến, Notebook, Vở học sinh, Vở Campus, Đồ dùng học sinh cấp 2, 3]",Vở
"Hộp bút vải Smiggle hình kỳ lân, có nhiều ngăn, bóp viết cho bé gái","[Hộp bút & Túi đựng, Cặp sách, Balo, Túi đựng bút, Bóp viết, Hộp bút, Deli, Kipling, Smiggle, Thiên Long, Dụng cụ học tập, Pencil Case, Hộp bút học sinh, Túi bút, Hộp bút dễ thương]",Hộp bút
"Kính cường lực full màn hình Kingkong cho iPhone 15 Pro Max, chống nhìn trộm, viền đen","[Dán màn hình & Camera, Ốp lưng, Dán màn hình PPF, Dán camera, Kính cường lực, Nillkin, Spigen, UAG, Baseus, Cường lực Kingkong, Screen Protector, Dán cường lực, Kính cường lực chống nhìn trộm]",Kính cường lực
"Nước hoa ô tô Ambi Pur Car hương Aqua, kẹp cửa gió điều hòa, khử mùi xe hơi","[Phụ kiện nội thất ô tô, Túi thơm, Sáp thơm, Tinh dầu treo xe, Máy lọc không khí ô tô, Nước hoa ô tô, Febreze, Ambi Pur, Glade, Yankee Candle, Phụ kiện xe hơi, Car Air Freshener, Khử mùi ô tô]",Nước hoa ô tô
"Thảm lót sàn ô tô 6D KATA cho Mazda CX-5 2023, full xe, da PU cao cấp","[Thảm lót sàn & Thảm taplo, Bọc vô lăng, Camera hành trình, Nước hoa ô tô, Thảm taplo, Thảm lót sàn, KATA, 3D, 5D, Lavor, Huvi, Car Floor Mat, Thảm lót sàn ô tô cao cấp, Phụ kiện xe Mazda]",Thảm lót sàn
"Camera hành trình 2 mắt Vietmap M1, cảnh báo tốc độ, ghi hình Super HD, kết nối WiFi","[Camera & Cảm biến, Định vị GPS, Màn hình Android ô tô, Cảm biến áp suất lốp, Camera 360, Camera hành trình, Vietmap, 70mai, Blackvue, GNET, Phụ kiện ô tô, Dash Cam, Camera hành trình trước sau, Camera giám sát]",Camera hành trình
